No. of Cloudlets,Algorithm,Power Consumption,Completed Cloudlets
5,NONE,31230.00,1
5,ACO-VMS,31230.00,1
5,LR,31230.00,1
5,MAD,31230.00,1
5,BFST,0.00,0
5,IQR,31230.00,1
10,NONE,62682.00,1
10,ACO-VMS,62682.00,1
10,LR,76647.00,1
10,MAD,76647.00,1
10,BFST,5707.38,0.5
10,IQR,76647.00,1
20,NONE,171544.13,1
20,ACO-VMS,172060.50,1
20,LR,211969.13,1
20,MAD,211969.13,1
20,BFST,39937.94,0.75
20,IQR,211969.13,1
25,NONE,240890.13,1
25,ACO-VMS,235409,1
25,LR,298430.13,1
25,MAD,298430.13,1
25,BFST,63957.06,0.80
25,IQR,298430.13,1
